Activity Type,Activity Name
Affinity Groups,African American Club
Affinity Groups,Asian Students Association
Affinity Groups,Association of Latin-American Students (ALAS)
Affinity Groups,Bible Camp
Affinity Groups,Bible School
Affinity Groups,Black Lives Matter
Affinity Groups,Black Students Union
Affinity Groups,"Boycott, Divestment, Sanctions"
Affinity Groups,Caribbean Culture Club
Affinity Groups,Chinese School
Affinity Groups,Chinese Student Association
Affinity Groups,Christians in Action
Affinity Groups,Church Involvement
Affinity Groups,Climate Change Activism
Affinity Groups,Diversity Awareness Club
Affinity Groups,Fellowship of Christian Athletes
Affinity Groups,Feminist Club
Affinity Groups,Filipino-American Club
Affinity Groups,Gay-Straight Alliance
Affinity Groups,Gender and Sexuality Alliance
Affinity Groups,Girls Everywhere Meeting the Savior (GEMS)
Affinity Groups,Girls in the Trades
Affinity Groups,Girls Learn International
Affinity Groups,Girls Who Code
Affinity Groups,Gun Control Activism
Affinity Groups,Indian Students Association
Affinity Groups,International Students Association
Affinity Groups,International Women’s Club
Affinity Groups,Italian Club
Affinity Groups,Japanese Club
Affinity Groups,Jewish Culture Club
Affinity Groups,Jewish Student Union
Affinity Groups,Junior ROTC
Affinity Groups,Latino Students Union
Affinity Groups,LGBTQ Club
Affinity Groups,Mosque Involvement
Affinity Groups,Multicultural Student Union
Affinity Groups,Muslim Student Union
Affinity Groups,Muslim Students Association
Affinity Groups,NAACP
Affinity Groups,National Organization for Women
Affinity Groups,New Crew
Affinity Groups,Nigerian Student Association
Affinity Groups,Pacific Islander Student Association
Affinity Groups,Persian Club
Affinity Groups,Racial Justice Club
Affinity Groups,Society of Women Engineers
Affinity Groups,South Asian Culture Club
Affinity Groups,Synagogue Involvement
Affinity Groups,Teens Against Human Trafficking
Affinity Groups,Temple Involvement
Affinity Groups,Women in Business
Affinity Groups,Women in STEM Club
Affinity Groups,Women’s March
Community Service,4H Club
Community Service,ACE Mentor Program of America
Community Service,Achieve Miami
Community Service,Achilles International
Community Service,Adopt-a-Highway
Community Service,Alzheimer’s Awareness Club
Community Service,American Cancer Society
Community Service,American Civil Liberties Union
Community Service,American Diabetes Association
Community Service,American Heart Association
Community Service,American Kennel Club
Community Service,American Legion
Community Service,Amnesty International
Community Service,Anchor Club
Community Service,Animal Rescue League
Community Service,Animal Rights Club (Community Service)
Community Service,Anti-Defamation League
Community Service,Autism Awareness Club
Community Service,Autism Cares Foundation
Community Service,Baseball Coaching
Community Service,Basketball Coaching
Community Service,Beach Cleanup
Community Service,Best Buddies
Community Service,Big Brothers Big Sisters of America
Community Service,Blankets of Hope
Community Service,Blood Drive
Community Service,Boy Scouts
Community Service,Breast Cancer Awareness Club
Community Service,Cat Rescue
Community Service,Cesar Chavez Service Clubs (Chavista)
Community Service,Cheerleading Coach
Community Service,Church Camp
Community Service,City Youth Council
Community Service,Civil Air Patrol
Community Service,Climate March
Community Service,Community Outreach Club
Community Service,CPR Training
Community Service,CureSMA
Community Service,Dana-Farber Jimmy Fund
Community Service,DARE
Community Service,Do Something
Community Service,Doctors Without Borders
Community Service,Dog Rescue
Community Service,Earth Day
Community Service,Emergency Medical Technician (EMT/EMS)
Community Service,English Tutoring
