Pub_Pri,School Code,School,City,County/State/Country
Public,53460,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara
Public,52462,PIEDMONT HIGH SCHOOL,Piedmont,Alameda
Public,53463,LYNBROOK HIGH SCHOOL,San Jose,Santa Clara
Public,50974,AMERICAN HIGH SCHOOL,Fremont,Alameda
Public,53096,PIONEER HIGH SCHOOL,San Jose,Santa Clara
Public,51476,ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles
Public,50718,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara
Public,53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara
Public,53204,MIDDLE COLLEGE HIGH SCHOOL,San Pablo,Contra Costa
Public,53270,PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz
Public,53105,WILLOW GLEN HIGH SCHOOL,San Jose,Santa Clara
Public,50666,NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa
Public,51446,RIVER VALLEY CHARTER SCHOOL,Lakeside,San Diego
Public,51480,LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles
Public,53165,HILLSDALE HIGH SCHOOL,San Mateo,San Mateo
Public,51505,WOODROW WILSON HIGH SCHOOL,Long Beach,Los Angeles
Public,50500,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda
Public,52114,NEWARK MEMORIAL HIGH SCHOOL,Newark,Alameda
Public,51092,BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada
Public,50170,MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo
Public,53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara
Public,52826,MT EVEREST ACADEMY,San Diego,San Diego
Public,52810,CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo
Public,50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda
Public,52282,MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa
Public,53098,SAN JOSE HIGH SCHOOL,San Jose,Santa Clara
Public,50410,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo
Public,54364,CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara
Public,52075,MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara
Public,54092,CA CONNECTION ACADEMY CAPISTRANO,San Juan Capistrano,Orange
Public,53466,MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara
Private,54056,MARANATHA CHRISTIAN SCHOOLS,San Diego,San Diego
Public,53344,PROSPECT HIGH SCHOOL,Saratoga,Santa Clara
Public,53462,HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara
Public,50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa
Public,51984,UNIVERSITY HIGH SCHOOL,Irvine,Orange
Public,51510,LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara
Public,53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda
Public,53092,LEIGH HIGH SCHOOL,San Jose,Santa Clara
Public,53280,SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara
Public,50970,MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda
Public,52970,LOWELL HIGH SCHOOL,San Francisco,San Francisco
Public,52533,POWAY HIGH SCHOOL,Poway,San Diego
Public,52347,HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara
Public,50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda
Public,52951,HIGH TECH HIGH SCHOOL,San Diego,San Diego
Public,52605,SEQUOIA HIGH SCHOOL,Redwood City,San Mateo
Public,53680,LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa
Public,50730,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo
Public,54313,HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego
Public,51082,DA VINCI CHARTER ACADEMY,Davis,Yolo
Public,51095,NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada
Public,54814,DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo
Public,51274,WOODBRIDGE HIGH SCHOOL,Irvine,Orange
Public,51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa
Public,54054,HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego
Public,50209,CENTENNIAL HIGH SCHOOL,Bakersfield,Kern
Public,52862,MT CARMEL HIGH SCHOOL,San Diego,San Diego
Public,53229,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa
Public,50548,PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte
Private,52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara
Public,53945,HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego
Public,51030,GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange
Public,52350,PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara
Public,50196,LIBERTY HIGH SCHOOL,Bakersfield,Kern
Public,53091,LELAND HIGH SCHOOL,San Jose,Santa Clara
Public,50972,WASHINGTON HIGH SCHOOL,Fremont,Alameda
Public,51070,GLENDORA HIGH SCHOOL,Glendora,Los Angeles
Public,51968,CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange
Public,50051,SUMMIT PUBLIC SCHOOL DENALI,Sunnyvale,Santa Clara
Private,51514,THE KINGS ACADEMY,Sunnyvale,Santa Clara
Public,50270,CARLMONT HIGH SCHOOL,Belmont,San Mateo
Private,51715,MARYMOUNT HIGH SCHOOL,Los Angeles,Los Angeles
Public,50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda
Public,50035,ALBANY HIGH SCHOOL,Albany,Alameda
Public,50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano
Private,52741,SANTA FE CHRISTIAN SCHOOL,Solana Beach,San Diego
Private,50599,VIVIAN WEBB SCHOOL,Claremont,Los Angeles
Public,53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara
Public,51271,IRVINE HIGH SCHOOL,Irvine,Orange
Public,51346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego
Public,54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa
Public,50217,STOCKDALE HIGH SCHOOL,Bakersfield,Kern
Public,50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles
Private,53142,HARKER SCHOOL,San Jose,Santa Clara
Public,51526,HIGH TECH HIGH LA,Van Nuys,Los Angeles
Public,52058,CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa
Public,51335,LA JOLLA HIGH,La Jolla,San Diego
Public,53275,SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara
Public,53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa
Private,51075,SAINT LUCYS PRIORY HIGH SCHOOL,Glendora,Los Angeles
Public,54355,DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa
Public,50727,MONTE VISTA HIGH SCHOOL,Danville,Contra Costa
Public,52120,WILLIAM S HART HIGH SCHOOL,Newhall,Los Angeles
Public,52550,RAMONA HIGH SCHOOL,Ramona,San Diego
Public,54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego
Private,53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles
Public,53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo
Public,51425,LIVERMORE HIGH SCHOOL,Livermore,Alameda
Private,50449,PACIFIC RIDGE SCHOOL,Carlsbad,San Diego
Public,52437,SERRANO HIGH SCHOOL,Phelan,San Bernardino
Private,53095,NOTRE DAME HIGH SCHOOL,San Jose,Santa Clara
Public,52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco
Public,53808,WOODSIDE HIGH SCHOOL,Woodside,San Mateo
Public,51423,GRANADA HIGH SCHOOL,Livermore,Alameda
Public,50729,DANA HILLS HIGH SCHOOL,Dana Point,Orange
Private,52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda
Public,51538,WILLIAM AND MARIAN GHIDOTTI HS,Grass Valley,Nevada
Public,51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange
Public,54379,WESTERN SIERRA COLLEGIATE ACAD,Rocklin,Placer
Public,53695,VALLEY CENTER HIGH SCHOOL,Valley Center,San Diego
Public,51120,HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo
Private,52375,FLINTRIDGE PREPARATORY SCHOOL,La Canada,Los Angeles
Public,54353,GOMPERS PREPARATORY ACADEMY,San Diego,San Diego
Public,54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego
Public,52238,SKYLINE HIGH SCHOOL,Oakland,Alameda
Public,52358,PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles
Public,52145,NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles
Public,53033,RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco
Public,51153,MOUNT EDEN HIGH SCHOOL,Hayward,Alameda
Public,52814,SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange
Public,54181,SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange
Public,51150,HAYWARD HIGH SCHOOL,Hayward,Alameda
Public,52723,MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento
Public,51972,MILLS HIGH SCHOOL,Millbrae,San Mateo
Private,52435,ROBERT L STEVENSON HIGH SCHOOL,Pebble Beach,Monterey
Public,53175,SAN MATEO HIGH SCHOOL,San Mateo,San Mateo
Public,53668,RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego
Public,52240,OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda
Public,51283,NORTHWOOD HIGH SCHOOL,Irvine,Orange
Public,54176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda
Public,50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles
Public,53390,SONOMA VALLEY HIGH SCHOOL,Sonoma,Sonoma
Public,50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside
Public,52994,PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco
Public,53953,PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento
Public,52870,POINT LOMA HIGH SCHOOL,San Diego,San Diego
Public,53647,BUENA HIGH SCHOOL,Ventura,Ventura
Public,52795,HIGH TECH HIGH MESA,San Diego,San Diego
Public,54643,CALIFORNIA CONNECTIONS ACD RPN,Ripon,San Joaquin
Private,53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara
